reaction_id;EC_Numbers
RPI;['5.3.1.6']
RPE;['5.1.3.1']
FUMm;['4.2.1.2']
CI_MitoCore;['1.6.5.9']
FUM;['4.2.1.2']
r0682;['1.3.1.10', '1.3.1.39', '1.3.1.104', '1.3.1.-']
r0763;['1.3.1.10', '1.3.1.39', '1.3.1.104', '1.3.1.-']
r0765;['1.3.1.10', '1.3.1.39', '1.3.1.104', '1.3.1.-']
r0767;['1.3.1.10', '1.3.1.39', '1.3.1.104', '1.3.1.-']
r0712;['1.3.1.10', '1.3.1.39', '1.3.1.104', '1.3.1.-']
r0771;['1.3.1.10', '1.3.1.39', '1.3.1.104', '1.3.1.-']
r0773;['1.3.1.10', '1.3.1.39', '1.3.1.104', '1.3.1.-']
HMGLm;['4.1.3.4']
MGCHrm;['4.2.1.18']
3HBCOAHLm;['3.1.2.4']
MMSAD1m;['1.2.1.27']
MMEm;['5.1.99.1']
THRD_L;['4.3.1.19']
r0645;['1.2.1.32']
SACCD3m;['1.5.1.8']
r0525;['1.5.1.9']
GLU5Km;['2.7.2.11']
AGMTm;['3.5.3.11']
4aabutn_MitoCore;['3.5.1.63']
GLUNm;['1.4.1.13', '1.4.1.14', '1.4.7.1', '2.6.1.123']
GLUN_MitoCore;['1.4.1.13', '1.4.1.14', '1.4.7.1', '2.6.1.123']
PSERT;['2.6.1.52']
FTCD;['4.3.1.4']
AOBUTDsm;['1.1.1.381']
LDH_Dm_MitoCore;['1.1.1.28']
r0129;['3.4.19.13']
DHPR;['1.5.1.34']
34HPPOR;['1.13.11.27']
URCN;['4.2.1.49']
IZPN;['3.5.2.7']
PGPPTm;['2.7.8.5']
PGPP_hsm_MitoCore;['3.1.3.27']
CYTK1m;['2.7.4.14', '2.7.4.25']
